Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,BEPC,,DABOU,Admis,Fille,1186
2016,BEPC,,DALOA,Admis,Fille,1963
2016,BEPC,,DANANE,Admis,Fille,456
2016,BEPC,,DAOUKRO,Admis,Fille,615
2016,BEPC,,DIMBOKRO,Admis,Fille,675
2016,BEPC,,DIVO,Admis,Fille,1799
2016,BEPC,,DUEKOUE,Admis,Fille,946
2016,BEPC,,FERKESSEDOUGOU,Admis,Fille,465
2016,BEPC,,GAGNOA,Admis,Fille,1149
2016,BEPC,,GRAND­BASSAM,Admis,Fille,1296
2016,BEPC,,GUIGLO,Admis,Fille,477
2016,BEPC,,ISSIA,Admis,Fille,536
2016,BEPC,,KATIOLA,Admis,Fille,383
2016,BEPC,,KORHOGO,Admis,Fille,926
2016,BEPC,,MAN,Admis,Fille,1056
2016,BEPC,,MANKONO,Admis,Fille,204
2016,BEPC,,MINIGNAN,Admis,Fille,13
2016,BEPC,,ODIENNE,Admis,Fille,328
2016,BEPC,,SAN­PEDRO,Admis,Fille,1754
2016,BEPC,,SASSANDRA,Admis,Fille,367
2016,BEPC,,SEGUELA,Admis,Fille,102
2016,BEPC,,SINFRA,Admis,Fille,586
2016,BEPC,,SOUBRE,Admis,Fille,1541
2016,BEPC,,TIASSALE,Admis,Fille,410
2016,BEPC,,TOUBA,Admis,Fille,96
2016,BEPC,,YAMOUSSOUKRO,Admis,Fille,2198
2016,BEPC,,ABENGOUROU,Admis,Garçon,2641
2016,BEPC,,ABIDJAN 1,Admis,Garçon,3200
2016,BEPC,,ABIDJAN 2,Admis,Garçon,5552
2016,BEPC,,ABIDJAN 3,Admis,Garçon,10387
2016,BEPC,,ABIDJAN 4,Admis,Garçon,7692
2016,BEPC,,ABOISSO,Admis,Garçon,1709
2016,BEPC,,ADZOPE,Admis,Garçon,1291
2016,BEPC,,AGBOVILLE,Admis,Garçon,1076
2016,BEPC,,BONDOUKOU,Admis,Garçon,1457
2016,BEPC,,BONGOUANOU,Admis,Garçon,949
2016,BEPC,,BOUAFLE,Admis,Garçon,931
2016,BEPC,,BOUAKE  1,Admis,Garçon,1603
2016,BEPC,,BOUAKE  2,Admis,Garçon,2689
2016,BEPC,,BOUNA,Admis,Garçon,238
2016,BEPC,,BOUNDIALI,Admis,Garçon,825
2016,BEPC,,DABOU,Admis,Garçon,1538
2016,BEPC,,DALOA,Admis,Garçon,3683
2016,BEPC,,DANANE,Admis,Garçon,1156
2016,BEPC,,DAOUKRO,Admis,Garçon,1190
2016,BEPC,,DIMBOKRO,Admis,Garçon,1273
2016,BEPC,,DIVO,Admis,Garçon,3257
2016,BEPC,,DUEKOUE,Admis,Garçon,2018
2016,BEPC,,FERKESSEDOUGOU,Admis,Garçon,709
2016,BEPC,,GAGNOA,Admis,Garçon,2004
2016,BEPC,,GRAND­BASSAM,Admis,Garçon,1270
2016,BEPC,,GUIGLO,Admis,Garçon,1022
2016,BEPC,,ISSIA,Admis,Garçon,1105
2016,BEPC,,KATIOLA,Admis,Garçon,660
2016,BEPC,,KORHOGO,Admis,Garçon,1483
2016,BEPC,,MAN,Admis,Garçon,2194
2016,BEPC,,MANKONO,Admis,Garçon,573
2016,BEPC,,MINIGNAN,Admis,Garçon,45
2016,BEPC,,ODIENNE,Admis,Garçon,752
2016,BEPC,,SAN­PEDRO,Admis,Garçon,2709
2016,BEPC,,SASSANDRA,Admis,Garçon,733
2016,BEPC,,SEGUELA,Admis,Garçon,330
2016,BEPC,,SINFRA,Admis,Garçon,1319
2016,BEPC,,SOUBRE,Admis,Garçon,3335
2016,BEPC,,TIASSALE,Admis,Garçon,659
2016,BEPC,,TOUBA,Admis,Garçon,233
2016,BEPC,,YAMOUSSOUKRO,Admis,Garçon,3219
2016,BAC,,ABENGOUROU,Inscrits,Fille,2303
2016,BAC,,ABIDJAN 1,Inscrits,Fille,7399
2016,BAC,,ABIDJAN 2,Inscrits,Fille,10682
2016,BAC,,ABIDJAN 3,Inscrits,Fille,20800
2016,BAC,,ABIDJAN 4,Inscrits,Fille,16923
2016,BAC,,ABOISSO,Inscrits,Fille,1437
2016,BAC,,ADZOPE,Inscrits,Fille,1691
2016,BAC,,AGBOVILLE,Inscrits,Fille,1477
2016,BAC,,BONDOUKOU,Inscrits,Fille,1425
2016,BAC,,BONGOUANOU,Inscrits,Fille,1089
2016,BAC,,BOUAFLE,Inscrits,Fille,1607
2016,BAC,,BOUAKE 1,Inscrits,Fille,2046
2016,BAC,,BOUAKE 2,Inscrits,Fille,2598
2016,BAC,,BOUNA,Inscrits,Fille,214
2016,BAC,,BOUNDIALI,Inscrits,Fille,658
2016,BAC,,DABOU,Inscrits,Fille,1734
2016,BAC,,DALOA,Inscrits,Fille,3391
2016,BAC,,DANANE,Inscrits,Fille,362
2016,BAC,,DAOUKRO,Inscrits,Fille,919
2016,BAC,,DIMBOKRO,Inscrits,Fille,956
2016,BAC,,DIVO,Inscrits,Fille,2468
2016,BAC,,DUEKOUE,Inscrits,Fille,767
2016,BAC,,FERKESSEDOUGOU,Inscrits,Fille,500
2016,BAC,,GAGNOA,Inscrits,Fille,2893
